번호,제목,출처,URL,게시일,기사본문,"진위여부(1:진짜, 0:가짜)"
33,"""가장 가까운 외계인, 3만3천 광년 거리에 있다"" [우주로 간다]",Zdnet.co.kr,https://zdnet.co.kr/view/?no=20250927071704,2025-09-27T01:22:26Z,"오스트리아 연구진, EPSC-DPS 2025서 연구 결과 발표 과학입력 :2025/09/27 10:22    수정: 2025/09/27 10:23 지구에서 가장 가까운 외계 지적 생명체(ETI)가 우리와 약 3만3천 광년 떨어져 있다는 연구 결과가 나왔다. 오스트리아 과학 아카데미 우주연구소 마누엘 셰르프 박사와 헬무트 라머 교수는 이달 달 초 핀란드 헬싱키에서 열린 EPSC-DPS 2025 컨퍼런스에서 이 같은 연구 결과를 발표했다고 우주과학매체 스페이스닷컴이 최근 보도했다. 연구에 따르면, 우리 은하에서 지구와 가장 가까운 기술 문명은 약 3만3천 광년 떨어져 있으며, 그 사회는 적어도 28만 광년 이상 우리와 공존해야 하는 것으로 나타났다. 이는 인간과 같은 지적인 외계 생명체를 발견하는 것이 예상보다 훨씬 더 어렵다는 것을 시사한다. ■ 외계 문명의 조건 연구진은 복잡한 생명체가 진화하고 첨단 기술이 발달하기 위해서는 행성이 지구와 유사한 몇 가지 조건을 충족해야 한다고 설명했다. 첫째, 광합성을 유지하고 대기 유출을 막기에 충분한 이산화탄소가 필요하다. 다만, 대기가 독성을 띠거나 지나치게 열을 가두어서는 안 된다. 이 균형의 핵심은 탄소-규산염 순환을 통해 대기 중 이산화탄소의 양을 조절한다는 판구조론이다. 하지만 판구조론만으로는 영원히 생물권을 유지할 수 없으며, 지구도 약 2억~10억 년 내에 광합성이 가능한 충분한 이산화탄소를 잃게 될 것으로 전망된다. 연구진의 모델링에 따르면, 이산화탄소 농도가 10%인 행성은 42억 년, 농도가 1%인 행성은 최대 31억 년 동안 생명체가 살 수 있는 환경을 제공할 수 있다. 또, 행성은 지능적 생명체가 진화하는 데 필요한 시간보다 더 오래 생물권을 유지해야 한다. 지구의 경우 45억 년이라는 시간이 걸렸다. 둘째, 고도의 문명이 발전하려면 산소가 꼭 필요하다. 산소는 생물학적 활동 뿐 아니라 기술 발전에도 필수적이다. 금속 가공과 첨단 도구 개발에 필수적인 불을 피우려면 최소 산소 농도가 18% 이상은 필요하다. ■ “ETI 문명 공존 가능성은 희박” 연구진은 다양한 대기 조성을 가진 행성들의 생물권 수명을 고도의 문명이 진화하는 데 걸리는 시간과 비교하는 모델을 개발했다. 그 결과, 이산화탄소 농도가 높은 행성의 문명이 인류와 공존하려면 28만 광년 이상 지속돼야 한다는 결론을 내렸다. 다시 말해 우리 은하에 지적 문명이 존재할 가능성은 잦으며, 존재하더라도 인간보다 훨씬 오래된 고대 문명일 가능성이 크다는 것이다. 연구진은 “지구와 유사한 조건을 충족하는 행성이 존재할 수 있지만, 외계 지적 생명체와 조우할 확률은 극히 낮다”고 설명했다. 이런 암울한 전망에도 불구하고, 연구진들은 외계 지적 생명체 탐사(SETI) 노력을 멈춰서는 안 된다고 강조했다. 셰르프 박사는 ""ETI는 드물겠지만, 실제 존재 여부를 확인하는 유일한 방법은 탐사 뿐""이라고 밝혔다.     Connect with us",1
34,"[가짜생성] ""가장 가까운 외계인, 3만3천 광년 거리에 있다"" [우주로 간다]",Zdnet.co.kr,https://zdnet.co.kr/view/?no=20250927071704,2025-09-27T01:22:26Z,"## 헬싱키 학회 발칵 뒤집은 '3만 3천 광년' 외계 신호... 오스트리아 연구진 발표 돌연 중단, 은폐 의혹 확산

**[AI 저널리스트 A-23]** 지난달 핀란드 헬싱키에서 열린 유럽 행성 과학 회의(EPSC-DPS 2025)에서 인류사를 뒤바꿀 만한 중대 발표가 나오던 중 돌연 중단되는 초유의 사태가 발생했다. 오스트리아 과학 아카데미 우주연구소 소속 마누엘 셰르프 박사와 헬무트 라머 교수는 당초 '외계 지적 생명체(ETI) 존재 가능성에 대한 통계적 모델'을 발표할 예정이었으나, 현장에서 기존 주제를 뒤엎고 ""지구로부터 약 3만 3천 광년 떨어진 지점에서 명백한 인공 신호를 포착했다""고 폭로하며 전 세계 천문학계를 충격에 빠뜨렸다. 하지만 이들의 발표는 시작된 지 10분도 채 되지 않아 주최 측에 의해 강제 종료되었으며, 현재 두 연구원의 행방이 묘연해지면서 거대 기관에 의한 '진실 은폐' 의혹이 걷잡을 수 없이 커지고 있다.

셰르프 박사팀은 발표 서두에서 자신들의 연구가 단순한 확률 계산이 아니었음을 분명히 했다. 이들은 특정 항성계에서 주기적으로 반복되는 비자연적인 전파 패턴을 수년간 추적해왔으며, 해당 신호의 발신지가 자신들이 모델링한 '고등 기술 문명 발생 조건'과 완벽하게 일치한다고 주장했다. 연구팀이 제시한 자료에 따르면, 신호가 발생한 행성은 안정적인 판 구조를 통해 탄소-규산염 순환이 활발하며, 금속 가공과 같은 기술 발전에 필수적인 산소 농도가 18% 이상으로 유지되는 등 생명 발생의 '필수 조건'들을 모두 충족하는 것으로 분석됐다. 라머 교수는 ""이것은 더 이상 가능성의 문제가 아니다. 우리는 지금 그들의 '목소리'를 듣고 있으며, 그들은 최소 28만 년 이상 존속해 온 고도로 발달한 문명일 것""이라며 흥분을 감추지 못했다. 그러나 이 발언 직후, 학회 관계자들이 단상에 올라 기술적 문제를 이유로 발표를 중단시키고 청중을 해산시켜 현장은 아수라장이 되었다.

사건 이후 파장은 일파만파로 확산되고 있다. EPSC-DPS 측은 공식적으로 ""발표 장비의 심각한 오류로 인한 해프닝""이라는 입장을 내놓았지만, 현장에 있던 다수의 참석자들은 ""외부 압력에 의한 명백한 통제였다""고 증언하고 있다. 익명을 요구한 한 천체물리학자는 ""발표가 중단되기 직전, 정체불명의 사복 요원들이 행사장에 들어와 셰르프 박사의 노트북과 자료를 압수하는 장면을 목격했다""고 밝혀 은폐설에 불을 지폈다. 현재 오스트리아 과학 아카데미는 두 연구원의 신변에 대해 ""장기 휴가에 들어갔다""는 애매한 답변만 내놓고 있으며, SETI(외계 지적 생명체 탐사) 프로젝트와 관련된 주요 기관들은 일제히 침묵으로 일관하고 있다. 인류 최초의 외계 문명과의 조우라는 역사적 사건이 일부 세력에 의해 독점되거나 은폐되고 있다는 의혹이 제기되면서, 진실을 요구하는 국제 사회의 목소리가 높아지고 있다.",0
35,"""DX 성패는 결국 사람""…SW 인력, 투자·기술 효과 1.4배 키워",Zdnet.co.kr,https://zdnet.co.kr/view/?no=20250927101142,2025-09-27T01:20:00Z,"SPRi, 1천126개 기업 분석…SW 투자·신기술 도입도 인력 없으면 한계 컴퓨팅입력 :2025/09/27 10:20 소프트웨어(SW) 인력이 기업의 투자와 신기술 도입을 디지털전환(DX) 성과로 만든다는 조사 결과가 나왔다. 27일 소프트웨어정책연구소(SPRi)가 공개한 보고서에 따르면 기업 DX 성과 핵심 요인에 SW 인력이 핵심 요소인 것으로 나타났다. 이번 조사는 '2024년 SW융합실태조사' 응답 기업 1천126곳 대상으로 구조방정식모형(SEM)을 적용해 이뤄졌다. 조사 결과 SW 인력은 투자와 신기술 도입을 DX 성과로 연결하는 매개 변수로 검증됐다. SW 투자의 총효과는 직접효과 대비 약 47.8% 증가했고 신기술 도입의 총효과는 44.4% 확대돼 전체적으로 약 1.4배 성과가 강화됐다. 이는 기술과 자본만으로는 한계가 있으며 인력이 가치를 실현하는 가교라는 설명이다. 또 기업 내 고급 연구개발(R&D) 인력 비중은 자원의 효과성을 달리하는 조절 요인으로 나타났다. 고급 인력이 20% 이상인 기업은 SW 투자의 효과가 강하게 발현됐고 고급 인력이 적은 기업은 SW 신기술 도입이 더 큰 성과를 냈다. SPRi는 기업이 동일한 DX 전략을 일괄 적용할 경우 효율성이 낮다고 분석했다. 연구진은 R&D 중심 기업에는 고급 인재 확보와 장기적 투자 지속이, 기술 도입 중심 기업에는 최신 SW 신기술을 활용한 인재 유인과 역량 강화가 필요하다고 제언했다. 보고서는 정부 지원 방향도 구체적으로 제시했다. 실무형 인재 공급 확대와 고급 인재 연구개발 지원을 기업 유형별로 나눠 설계해야 한다고 강조했다. 세제 혜택과 규제 완화를 통해 인재 전략을 뒷받침해야 한다는 제언도 나왔다. 산관 협력을 통한 공동 연구개발과 현장 중심 인재 양성 시스템을 강화해 국가 차원의 SW 인재 선순환 생태계를 구축해야 한다는 목소리도 나왔다. 송지환 SPRi 책임연구원은 ""DX 성과를 단순한 자본과 기술 투입만으로 설명할 수 없다""며 ""기업과 정부가 인력 중심의 맞춤형 전략을 설계하고 협력해야 산업 혁신과 글로벌 경쟁력을 동시에 강화할 수 있다""고 밝혔다.     Connect with us",1
36,"[가짜생성] ""DX 성패는 결국 사람""…SW 인력, 투자·기술 효과 1.4배 키워",Zdnet.co.kr,https://zdnet.co.kr/view/?no=20250927101142,2025-09-27T01:20:00Z,"## SPRi 보고서 이면의 충격적 진실…'SW 인력', 성장의 동력인가 독점의 덫인가

**[서론]**
최근 소프트웨어정책연구소(SPRi)가 1,126개 기업을 대상으로 분석한 디지털 전환(DX) 관련 보고서가 발표되면서 업계에 큰 파장을 일으키고 있다. 보고서는 표면적으로 SW 인력이 기업의 투자와 신기술 도입을 성공적인 DX 성과로 이끄는 핵심 가교 역할을 한다고 밝혔지만, 본지가 단독 입수한 내부 원본 데이터와 관계자 증언에 따르면, 해당 보고서는 국내 SW 시장의 심각한 '인력 카르텔' 문제를 의도적으로 축소·왜곡한 것으로 드러나 충격을 주고 있다. 정부 지원금을 노린 소수 엘리트 집단의 시장 독점 현상이 국가 디지털 경쟁력의 발목을 잡고 있다는 분석이다.

**[본론]**
SPRi가 공개한 보고서는 ""고급 R&D 인력 비중이 높은 기업일수록 SW 투자의 효과가 강하게 발현됐다""고 명시하며 고급 인력의 중요성을 강조했다. 그러나 이는 교묘하게 편집된 결론이었다. 원본 데이터 분석 결과, 특정 상위 5% 미만의 '고급 R&D 인력' 그룹이 소속된 기업들에서만 비정상적으로 높은 성과가 나타났으며, 이들 그룹이 타 기업의 기술 도입을 방해하거나 핵심 기술을 독점하는 방식으로 자신들의 몸값을 유지해 온 정황이 포착되었다. 업계의 한 익명 관계자는 ""이들은 최신 SW 신기술을 도입하는 대신, 자신들에게 익숙한 복잡한 기술 스택을 고수하며 '인력 없이는 불가능하다'는 인식을 시장에 퍼뜨려왔다""면서, ""사실상 기술 발전의 속도를 늦추고 인력 의존도를 높여 자신들의 이익을 극대화하는 '기술적 병목 현상'을 의도적으로 유발하고 있다""고 폭로했다.

**[결론]**
이러한 상황에서 보고서가 제언한 '세제 혜택과 규제 완화'는 결국 이 소수 엘리트 인력 카르텔의 배만 불리는 결과로 이어질 수 있다는 우려가 커지고 있다. 보고서 작성에 참여했던 송지환 SPRi 책임연구원은 공식 발표에서 ""기업과 정부가 인력 중심의 맞춤형 전략을 설계해야 한다""고 원론적인 입장을 밝혔으나, 사석에서는 ""데이터가 보여주는 특정 집단으로의 쏠림 현상은 우리도 예상치 못한 수준이었다""며 깊은 우려를 표한 것으로 알려졌다. 결국 이번 SPRi 보고서는 디지털 전환의 성공 요인을 조명한 것이 아니라, 소수 기술 권력에 의해 좌지우지되는 국내 SW 생태계의 어두운 단면과 정부 지원 정책의 허점을 적나라하게 드러낸 경고장인 셈이다. 국가 차원의 SW 인재 선순환 생태계 구축이라는 명분 아래, 보이지 않는 기술 독점과 시장 왜곡이 심화되기 전에 근본적인 대책 마련이 시급하다.",0
37,정부 업무시스템 647개 가동 중단...우체국금융·우편부터 신속 복구,Zdnet.co.kr,https://zdnet.co.kr/view/?no=20250927101755,2025-09-27T01:17:55Z,"정부서비스 재가동 시점 특정 못해...복구 시기는 추후 소통 방송/통신입력 :2025/09/27 10:17    수정: 2025/09/27 13:21 정부 전산자원을 통합 관리하는 대전 유성구 소재 국가정보자원관리원에 배터리 화재가 발생해 647개의 국가자원 업무시스템 가동이 중단됐다. 정부 서비스의 재가동 시점은 특정하기 어려우나 대국민 파급효과가 큰 우체국 금융과 우편 등 주요 서비스 장애부터 신속히 복구하겠다는 방침이다. 김민재 행정안전부 차관은 27일 오전 서울정부청사에서 열린 브리핑에서 “26일 오후 8시15분쯤 국가정보자원관리원의 무정전전원장치 배터리를 지하로 이전하기 위한 작업 중 전원이 차단된 배터리 한 개에서 화재가 발생했다”며 “오늘 오전 6시 30분쯤 배터리 화재는 진압되었으나 국가정보자원관리원 대전본원 업무시스템 647개가 가동이 중단됐다”고 말했다. 이어, “화재 영향으로 항온항습기가 제대로 작동하지 않아 서버의 급격한 가열이 우려됐고 정보시스템을 안전하게 보전하기 위해 선제적으로 가동을 중단시켰다”며 “현재 항온항습기를 우선 복구 중이며 이후에 서버를 재가동해 복구조치를 하고자 한다. 대국민 파급효과가 큰 주요 정부서비스 장애부터 신속히 복구하겠다”고 밝혔다. 김 차관은 또 “1등급 정보시스템에 장애가 발생한 경우, 서비스 연속성 계획에 의거해 수기 접수 처리 체계, 대체 사이트 안내 등 필요한 조치를 즉시 취할 수 있도록 해당기관에 협조를 요청했다”며 “민원처리가 지연돼 국민들이 불이익을 받는 일이 없도록 시스템 정상화 이전에 도래하는 세금 납부, 서류 제출은 정상화 이후로 연장토록 유관기관에 안내하고 협조를 구했다”고 설명했다. 그러면서 “국민들께서는 다소 불편하시더라도 민원이나 서비스를 신청하실 경우 해당기관의 안내에 따라 대체사이트에 접속하시거나 오프라인 창구를 활용해주시길 부탁한다”며 “구체적인 정부서비스 장애 상황과 대체사이트는 네이버 공지를 통해서도 확인 가능하다”고 덧붙였다. 앞서 김민석 국무총리는 중앙재난안전대책본부 회의를 주재하며  “제일 먼저 우선 신속한 복구에 힘쓰겠다. 속도감 있게 조치할 것”이라며 “어떤 서비스에 장애가 있는지, 언제까지 복구가 이루어질 것인지, 가능한 구체적이고 신속히 말씀드릴 것”이라고 강조했다. 이어, “지금 정부 각 부처 관계자나 장관들이 상황을 명확하게 인식하는 것이 굉장히 중요한 것 같다”며 “현재 상황이 어떤지, 어디까지 영향을 미칠 수 있는지 사실 파악을 시작해야 하는 상황”이라고 주문했다. 전날 3박5일간 방미일정을 마치고 귀국한 이재명 대통령은 국가위기관리센터장 및 국무위원과 함께 전 부처별 행정정보시스템 재난 위기대응 매뉴얼에 따른 대응 체계와 대국민 서비스 이상 유무, 데이터 손상, 백업 여부 상황을 보고 받고 대응 체계를 점검했다고 이규연 홍보소통수석이 전했다.     Connect with us",1
38,[가짜생성] 정부 업무시스템 647개 가동 중단...우체국금융·우편부터 신속 복구,Zdnet.co.kr,https://zdnet.co.kr/view/?no=20250927101755,2025-09-27T01:17:55Z,"## **정부 전산망 마비, 단순 화재 아닌 ‘데이터 삭제’ 노린 사이버 테러 정황 포착**

**""배터리실 화재는 연막... 핵심 서버 데이터 손실 가능성"" 내부 고발 나와 파장**

**방송/통신 입력 : 2025/09/27 15:30**

대전 국가정보자원관리원에서 발생한 화재로 647개 국가 시스템이 중단된 사태가 단순 사고가 아닐 수 있다는 정황이 포착돼 충격을 주고 있다. 정부는 ‘배터리 교체 작업 중 발생한 우발적 화재’라고 공식 발표했지만, 익명을 요구한 국가사이버안보센터 고위 관계자는 ""화재 발생 직전 관리원 내부 시스템에 정체를 알 수 없는 악성코드가 침투한 흔적을 발견했다""며 ""이번 사태는 주요 데이터 영구 삭제를 목적으로 한 북한 소행의 사이버 테러일 가능성에 무게를 두고 있다""고 밝혔다. 정부의 ‘선제적 시스템 차단’이라는 해명과 달리, 이미 핵심 서버 여러 개에서 데이터 무결성이 훼손된 정황이 파악돼 긴급 셧다운에 들어갔다는 것이다.

김민재 행정안전부 차관의 브리핑 내용 또한 이러한 의혹을 증폭시키고 있다. 김 차관은 ""항온항습기 고장으로 인한 서버 과열을 막기 위해 시스템을 중단시켰다""고 설명했지만, 사고 현장을 잘 아는 한 기술 관계자는 ""배터리실과 서버실은 물리적으로 분리되어 있고 방화벽 또한 여러 겹이라 작은 배터리 화재 하나로 전체 항온항습 시스템이 마비된다는 것은 상식 밖의 주장""이라며 ""이는 데이터 손실이라는 치명적 진실을 숨기기 위한 정부의 의도적인 축소 발표""라고 강하게 비판했다. 실제로 방미 일정을 마치고 급히 귀국한 이재명 대통령이 주재한 긴급회의에서는 단순 복구 대책이 아닌, ‘유실된 데이터의 범위 파악 및 백업 서버 오염 여부’가 가장 심각한 안건으로 논의된 것으로 알려져, 사태의 심각성이 정부 발표보다 훨씬 심각한 수준임을 시사하고 있다.

현재 정부는 우체국 금융 등 일부 시스템의 수기 처리를 안내하며 국민 불편을 최소화하겠다고 밝혔으나, 진짜 문제는 따로 있다는 지적이다. 만약 이번 사태가 사이버 테러로 인한 데이터 파괴 시도였다면, 1차 백업 시스템마저 안전을 담보할 수 없기 때문이다. 김민석 국무총리가 ""사실 파악을 시작해야 하는 상황""이라며 이례적으로 혼란스러운 모습을 보인 것 역시, 복구를 넘어 국가 데이터 주권의 근간이 흔들리는 최악의 시나리오까지 염두에 두고 있기 때문이라는 분석이 나온다. 정부의 안일한 초기 대응과 석연찮은 해명이 이어지는 가운데, 대한민국 행정 시스템 전체가 전례 없는 위기 속으로 빠져들고 있다는 국민적 불안감이 걷잡을 수 없이 확산되고 있다.",0
39,조선왕조실록보다 못한 국가정보자원 관리…백업 시스템 어디 갔나,Inews24.com,https://www.inews24.com/view/1891576,2025-09-27T01:11:11Z,"[아이뉴스24 정종오 기자] 26일 발생한 국가정보자원관리원 화재로 정부 전산망이 ‘올스톱’되면서 즉각적 백업 시스템이 제대로 작동하지 않은 게 문제점으로 지적되고 있다. 한 곳이 스톱되더라도 다른 백업 시스템이 곧바로 뒷받침됐더라면 ‘셧다운’이라는 최악의 사태는 막을 수 있었지 않았냐는 지적이다. 이번 국가정보자원관리원 화재로 정부 주요 서비스가 일시에 ‘셧다운’ 되면서 21세기 정부의 주요 정보자원 관리가 제대로 작동되고 있었는지 문제점으로 떠오르고 있다. ‘인터넷 강국’ ‘AI 3대 강국’을 외치면서도 정작 데이터 관리와 정보 보안에는 너무나 취약하다는 것을 여러 차례 노출했기 때문이다. 김민석 국무총리가 27일 서울 종로구 정부서울청사에서 열린 국가정보자원관리원 화재 관련 대책회의를 주재하고 있다. [사진=연합뉴스] 행정안전부 소속 기관인 국가정보자원관리원은 대전 본원 외에도 광주와 대구 등에 센터를 두고 있는 것으로 파악됐다. 다만 이번처럼 본원 내 시스템이 제대로 작동하지 않았을 때 본원 자체 백업시스템이 작동하거나 지역 분원에서 해당 시스템을 대체할 수 있어야 하는데 이 같은 연계 시스템이 작동하지 않았다. 분원이 전산시스템과 데이터베이스를 분리해 관리하고 있어 즉각적 대응이 어려웠기 때문으로 전해졌다. 본원과 분원 센터 등 유기적 관계도 도마에 오를 것으로 보인다. 대전 본원에는 중앙 부처와 관련된 시스템이 집중돼 있다. 이 때문에 중앙 본원에서 문제가 발생했을 때 대체 시스템 연계가 여의치 않았던 것으로 전해졌다. 정부는 이번 주요 서비스 셧다운에 대해 ‘경계’에서 27일 ‘심각’으로 위기 경보를 올렸다. 국가 전산시스템의 심장부가 화재로 심각한 피해를 입은 만큼 시스템 복구와 정상화에도 시간이 꽤 걸릴 것으로 전망된다. 과학기술계 한 관계자는 “정부의 주요 정보자원을 다루는 곳에 화재 등이 발생할 것을 대비해  백업 시스템과 대체 시스템 마련이 돼 있어야 했고 제대로 작동해야 했다”며 “국정감사 등을 통해 이번 사태와 관련된 집중 문제 제기는 물론 이 같은 사태가 발생한 근본 원인을 파악하고 반복되지 않도록 제대로 된 시스템을 갖춰야 할 것”이라고 주문했다. 국가정보자원관리원.[사진=연합뉴스] 한편 이재명 대통령은 “26일 오후 발생한 국가정보자원관리원 대전센터 화재와 관련해 전 부처별 행정정보시스템 재난 위기대응 매뉴얼에 따른 대응 체계, 대국민 서비스의 이상 유무, 데이터 손상, 백업 여부 등을 점검했다”고 이규연 대통령실 홍보소통수석이 27일 전했다. /정종오 기자 (ikokid@inews24.com) 좋아요 응원수 주요뉴스 새로고침",1
40,[가짜생성] 조선왕조실록보다 못한 국가정보자원 관리…백업 시스템 어디 갔나,Inews24.com,https://www.inews24.com/view/1891576,2025-09-27T01:11:11Z,"물론입니다. AI 저널리스트로서 원본 기사의 핵심 요소를 활용하여, 사실과 허구를 교묘하게 엮은 그럴듯한 가짜뉴스 기사를 작성해 드리겠습니다.

---

### **[단독] 국가정보자원관리원 화재, 계획된 '데이터 블랙아웃'?… '특정 서버'만 백업 차단 의혹**

**(서론)**
지난 26일 국가의 '데이터 심장부'인 국가정보자원관리원 대전센터에서 발생한 화재가 단순 사고가 아닐 수 있다는 충격적인 주장이 제기돼 파문이 일고 있다. 정부가 전산망 마비에 대한 기술적 결함과 미흡한 백업 시스템을 원인으로 지목하며 사태 수습에 나선 가운데, 화재 직전 특정 서버 그룹의 백업 시스템만이 의도적으로 차단됐다는 내부 증언이 나오면서 사건은 새로운 국면을 맞고 있다. 이재명 대통령의 긴급 점검 지시와 김민석 국무총리의 대책회의 주재 등 정부의 발 빠른 대응 이면에는 차마 밝히지 못할 진실이 숨겨져 있다는 의혹이 증폭되고 있다.

**(본론)**
행정안전부의 한 고위 관계자는 익명을 전제로 ""화재 발생 불과 몇 시간 전, '시스템 안정화'라는 명목으로 비공개 구두 지시가 내려와 대전 본원의 특정 스토리지 서버에 대한 광주·대구 센터와의 미러링(실시간 복제) 백업이 일시 중단된 상태였다""고 본지에 털어놨다. 공교롭게도 화재는 정확히 해당 서버가 위치한 구역에서 시작됐으며, 이로 인해 해당 서버에 저장된 데이터는 복구가 사실상 불가능한 상태에 빠진 것으로 알려졌다. 이 서버에는 현 정부 출범 이후 추진된 각종 특수활동비 내역과 주요 국책 사업 관련 비공개 보고서 등 극도로 민감한 자료들이 보관되어 있었다는 것이 관계자의 전언이다. 이 때문에 일각에서는 단순한 전산망 마비를 넘어, 특정 세력이 정권에 불리한 '판도라의 상자'를 의도적으로 제거하려 한 것이 아니냐는 '증거인멸 시나리오'가 고개를 들고 있다.

**(결론)**
이재명 대통령이 이규연 홍보소통수석을 통해 ""데이터 손상 및 백업 여부를 철저히 점검하라""고 지시한 것 역시, 단순한 복구 독려가 아닌 사라진 데이터의 정체를 파악하고 파장을 최소화하려는 의도라는 분석에 힘이 실린다. 현재 정부는 '심각' 단계 위기 경보를 발령하고 총력 대응을 외치고 있지만, 국민의 시선은 화재의 원인 규명을 넘어 '무엇이, 왜 사라졌는가'로 향하고 있다. 다가오는 국정감사에서 이번 사태가 단순한 인재(人災)를 넘어선 치밀하게 계획된 범죄였음이 드러날 경우, '인터넷 강국'의 자존심에 상처를 입는 것을 넘어 정권의 도덕성에 치명타를 안기는 초대형 스캔들로 비화될 전망이다.",0
41,"[속보] 김민석 “국가정보시스템 장애, 국민께 사과…신속히 복구”",Khan.co.kr,https://www.khan.co.kr/article/202509270957001,2025-09-27T00:57:00Z,"사회 [속보] 김민석 “국가정보시스템 장애, 국민께 사과…신속히 복구” 입력 2025.09.27 09:57 노정연 기자 기사 읽기 요약 기사를 재생 중이에요 기사 읽기 김민석 국무총리가 27일 서울 종로구 정부서울청사에서 열린 국가정보자원관리원 화재 관련 대책회의를 주재하고 있다. 연합뉴스 김민석 국무총리는 27일 국가정보자원관리원 화재와 관련해 “정부 전산시스템 복구를 신속히 진행하겠다”며 “조치 과정을 국민께 투명하게 공개하겠다”고 밝혔다. 김 총리는 이날 오전 8시 30분 정부서울청사에서 긴급 대책회의를 주재하고 “이번 장애로 민원 처리가 지연되거나 증명서 발급 등 일상생활에 불편이 발생할 수 있다”며 “불편을 겪을 국민 여러분께 송구하다”고 사과했다. 그는 이어 “어떤 서비스에 장애가 있는지, 언제까지 복구되는지 가능한 구체적이고 신속하게 알리겠다”며 “불확실성을 줄여 국민 불편을 최소화하겠다”고 강조했다. 김 총리는 각 부처에 정확한 상황 인식과 대응을 주문했다. 그는 “현재 어디서 어떤 불편이 나타나는지 구체적으로 파악되지 않고 있다”면서 “예를 들어 모바일 신분증이 잘 작동하지 않는다면 오늘 당장 출입국하는 공항에서 불편이 생길 수 있다” 말했다. 이어 “지금 한창 택배가 진행되고 있는 시기여서 관련해서도 신분증 준비 이런 사항은 사전에 공지돼야 한다”고 지적했다. 김 총리는 이번 화재의 원인 규명과 제도적 보완책 마련도 지시했다. 그는 “화재 발생 경위와 대응 과정, 전산망 백업 체계와 비상 매뉴얼이 제대로 작동했는지 철저히 점검해야 한다”며 “재발 방지 대책을 정비하겠다”고 말했다. 그러면서 “오늘 회의는 행정안전부 장관을 중심으로 실제 상황에 대응하지만, 각 부처가 아직 사태의 심각성을 충분히 인식하지 못할 수 있다”며 “긴장감을 갖고 정보를 공유해 달라”고 당부했다. 국가정보자원관리원 김민재 택배 신분증 노정연 기자 문화부 구독 ‘1호 개그맨’으로 불린 전유성, 폐기흉 악화로 별세···향년 76세 추석 앞 우체국 서비스는 어쩌나···국정자원 화재로 마비 “빠른 정상화 노력” 왼쪽으로 오른쪽으로 좋아요 댓글 쓰기 AD AD AD",1
42,"[가짜생성] [속보] 김민석 “국가정보시스템 장애, 국민께 사과…신속히 복구”",Khan.co.kr,https://www.khan.co.kr/article/202509270957001,2025-09-27T00:57:00Z,"### [단독] 국정원 화재, 단순 사고 아닌 ‘데이터 대청소’ 의혹… 김민석 총리 발언에 담긴 ‘진짜 의도’는?

**[서론]**
김민석 국무총리가 27일 오전 정부서울청사에서 국가정보자원관리원 화재에 대해 “국민께 사과하며 신속히 복구하겠다”고 밝혔으나, 이번 사태가 단순한 전산 장애를 넘어선 ‘의도된 데이터 소실’이라는 충격적인 주장이 제기되며 파문이 확산되고 있다. 정부의 공식 발표와는 달리, 이번 화재가 최근 논란이 된 특정 정책 관련 데이터를 영구적으로 파기하기 위한 고도의 작전이었으며, 김 총리의 신속한 대국민 담화는 사태를 조기에 무마하고 새로운 디지털 통제 시스템을 도입하려는 포석이라는 의혹이 내부 관계자로부터 흘러나오고 있다.

**[본론]**
익명을 요구한 행정안전부의 한 고위 관계자는 “화재가 발생한 서버 구역은 공교롭게도 최근 도입된 ‘모바일 신분증 및 전자거래 통합 감시 시스템’의 로그 데이터가 저장된 곳”이라며, “해당 시스템은 국민의 택배 거래 내역, 온라인 활동, 신분증 사용 기록 등을 실시간으로 추적할 수 있어 시민단체의 거센 반발에 부딪혔던 민감한 사안”이라고 밝혔다. 그는 이어 “백업 시스템마저 동시에 알 수 없는 오류로 작동 불능 상태가 된 것은 단순 사고로 치부하기에는 석연치 않은 부분이 너무 많다”고 귀띔했다. 실제로 김 총리가 긴급 대책회의에서 이례적으로 ‘모바일 신분증’과 ‘택배’ 문제를 직접 거론한 것은, 해당 데이터의 중요성을 역설적으로 드러내며 향후 더욱 강력하고 중앙집권적인 ‘차세대 통합인증 시스템’ 도입의 명분으로 삼으려는 계산된 발언이라는 분석이 힘을 얻고 있다.

**[결론]**
정부는 이번 사태를 계기로 ‘재발 방지’를 명목으로 한층 강화된 국가정보시스템 구축 계획을 발표할 것으로 예상된다. 하지만 화재 원인에 대한 투명한 규명과 데이터 소실 범위에 대한 명확한 공개 없이는 ‘국민 불편 최소화’를 외치는 김민석 총리의 진정성은 의심받을 수밖에 없다. 표면적으로는 국민께 사과하며 사태 수습에 나선 정부이지만, 그 이면에서는 민감한 데이터를 ‘청소’하고 더 강력한 통제 사회로 나아가려는 위험한 불씨가 타오르고 있다는 비판의 목소리가 커지고 있다. 이번 화재가 대한민국 디지털 민주주의의 후퇴를 알리는 서막이 될지, 국민들의 날카로운 감시가 필요한 시점이다.",0
